Approved Symbol	UniProt ID(supplied by UniProt)
RPSAP3	
RBMY2EP	
CBX3P1	
BDB~withdrawn	
PHF10P1	
MRPS24P1	
SP3P	
KRT19P2	
PSMC6P2	
RPL7AP10	
CSNK1A1P1	
CMH4~withdrawn	
USP32P1	
TAF9P3	
SLC25A3P1	
MECL1~withdrawn	
CYCSP7	
SRSF10P2	
DHX9P1	
TXNP2	
PRSS3P1	
TXNP3	
SPA17P1	
RPL32P31	
LINC00858	
UBE2V~withdrawn	
DEFT1P	
FACA~withdrawn	
HMGA1P2	
TXNP6	
SLC20A1P1	
GOLGA4P3	
RPS8P1	
DDX50P1	
OXCT2P1	
SSU72P5	
EMX2OS	
RPS2P38	
FACC~withdrawn	
RMST	
LINC00638	
TUBB8P7	
CASP16P	
TRIM39-RPP21	
LINC00466	
MRPS21P1	
TUBB8P6	
TMEM51-AS1	
LINC00656	
ALMS1P1	
MRPS25P1	
FACE~withdrawn	
AMZ2P1	
LINC00870	
TAPT1-AS1	
GK6P	
RPL27P10	
PAXIP1-AS1	
OSTCP1	
RPL17P27	
FAM226A	
HMGA1P1	
HMGB3P30	
RPSAP52	
IGLJCOR18	
NBPF21P	
PIP5K1P1	
PROSER2-AS1	
KRT8P16	
TACC1P1	
CTBP2P3	
ZEB1-AS1	
CTAGE10P	
RPS4XP16	
USP32P2	
TMEM72-AS1	
CEP57L1P1	
CYCSP33	
ADCY10P1	
RANP1	
ZSCAN12P1	
MRPL48P1	
SERPINB9P1	
HOXA11-AS	
RPL29P4	
TOB2P1	
RPL23P8	
LINC02167	
LINC01940	
ELOCP2	
PLANH3~withdrawn	
STD~withdrawn	
KRT18P55	
PPIHP1	
YWHAZP4	
LINGO1-AS1	
ANKRD62P1-PARP4P3	
MEP1AP3	
BRD7P3	
SNHG1	
TAF9BP1	
IKBKGP1	
CKS1BP2	
CKS1BP3	
YWHAQP2	
UBE2SP1	
DYNLL1P1	
ATP5HP4	
HCG27	
SRP68P2	
SRP68P1	
TNPO1P2	
RPL31P8	
CUTALP	
PCGF7P	
LINC02052	
RPS2P17	
CACNA1G-AS1	
LINC02111	
LINC01624	
RPL10AP2	
LINC00710	
RPS10P22	
MIR9-3HG	
MAPK6PS2	
USP12PX	
RPL9P8	
SH3TC2-DT	
TUBB8P9	
TBX5-AS1	
NUP210P1	
UNC93B6	
STM~withdrawn	
STP1~withdrawn	
NAPSB	
RPS2P32	
FDPSP9	
PSME2P1	
GSTTP1	
NCOA4P1	
RPS26P10	
TUBB8P12	
ELF2P2	
PART1	
ELF2P3	
UHRF2P1	
LINC02072	
TUBB8P4	
TUBBP9	
RPS2P27	
LINC02249	
RPL31P38	
STP2~withdrawn	
RALGAPA1P1	
OR2L1P	
PHF2P1	
PSMC6P1	
HSPA9P1	
AK2P1	
CABYRP1	
RNVU1-18	
RNVU1-7	
RNU1-27P	
RNU1-28P	
FACD~withdrawn	
TMEM132D-AS1	
WDR11-AS1	
SBF2-AS1	
EIF1AXP1	
PSMD10P2	
MAPK6PS6	
NASPP1	
LINC00700	
PDCD4-AS1	
ZMIZ1-AS1	
RPS25P1	
NEAT1	
MIR4697HG	
LINC00294	
RPL13AP13	
C1RL-AS1	
LINC02396	
RPL13P5	
C12orf80	
TRHDE-AS1	
LINC00592	
RPL29P12	
LINC00485	
HNF1A-AS1	
FGF14-AS2	
LINC00551	
LINC00567	
ARH6~withdrawn	
LINC00639	
LINC01588	
LINC00640	
LINC02288	
FAM181A-AS1	
NTRK3-AS1	
SNHG10	
LINC00641	
RPL26P4	
BTF3P2	
CHS1~withdrawn	
EWSAT1	
CPEB1-AS1	
LINC02315	
CASC22	
LINC00922	
LINC00514	
LINC00921	
LINC02175	
IL21R-AS1	
HCCAT5	
MIF-AS1	
PKD1P2	
LINC02581	
LINC00670	
RPL29P31	
FAM27E5	
KRT42P	
MRPL36P1	
POLRMTP1	
RPL36AP49	
LINC00907	
LINC00908	
LINC01924	
LINC01869	
RPL10P16	
ZNF790-AS1	
LINC00663	
C6orf224~withdrawn	
LINC01226	
LEMD1-AS1	
FAM41C	
SMG7-AS1	
TTC28-AS1	
GUCY2GP	
MIR646HG	
MIR663AHG	
LINC00319	
RPL13AP7	
LINC00486	
RPL18AP6	
MED15P9	
AHCTF1P1	
IFI54~withdrawn	
TUSC7	
LINC00636	
DNAJB8-AS1	
ENTPD3-AS1	
LINC00692	
LINC02495	
RPL31P18	
UNC93B3	
UBQLN4P1	
LINC00606	
MRPL42P1	
LINC00620	
LINC02028	
LINC00698	
F11-AS1	
CTBP1-AS	
LINC01098	
FAM13A-AS1	
SEPSECS-AS1	
LINC01097	
LINC01845	
LINC01268	
NBPF22P	
LINC02112	
BASP1-AS1	
LINC00326	
PHACTR2-AS1	
LINC01622	
LY86-AS1	
PACRG-AS1	
RPL39P3	
SUMO2P1	
LINC00174	
COX6A1P2	
ARAFP3	
RPL6P20	
INTS4P1	
HCP5P12~withdrawn	
HOXA-AS2	
INHBA-AS1	
SNHG15	
EPHA1-AS1	
SEPT7P9	
IFI56~withdrawn	
LINC01591	
TPI1P2	
MRPS18CP2	
MAPK6PS4	
LINC02153	
TMED10P1	
RPS2P55	
RPS2P33	
C8orf34-AS1	
LACTB2-AS1	
ME2P1	
FAM225A	
MIR4290HG	
RPL7P33	
MRRFP1	
CDY9P	
FIRRE	
FAM3C2	
RAC1P4	
UBE2E4P	
BRAFP1	
IFI56P~withdrawn	
EIF4A2P4	
MXRA5Y	
CYCSP46	
TBL1YP1	
CSN1S2AP	
FOXN3-AS2	
CPS1-IT1	
ASAP1-IT1	
MRPS31P2	
LINC00652	
HCG2P8~withdrawn	
PTP4A~withdrawn	
POM121L9P	
POM121L8P	
MAPK6PS3	
RBMY2QP	
ENSAP2	
MAPK6PS1	
NOP14-AS1	
HCG4P10~withdrawn	
MESTIT1	
VN1R9P	
HMGN2P2	
PSMD12P	
ADAM20P1	
SEPT7P1	
CHORDC2P	
SYF2P1	
CKS1BP1	
HCP5P13~withdrawn	
ITPK1-AS1	
SNORD56B	
SNORD8	
COX7A2P1	
PRKMK6~withdrawn	
RPS27AP4	
MTCO1P2	
NDUFB8P1	
NT5CP2	
RPA2P1	
LINC00226	
LINC00221	
HIST2H2BA	
KRTAP21-4P	
ST7-OT4	
PSMD10P3	
EIF4A1P7	
MRPS16P3	
SNORD108	
TAS2R2P	
TAS2R64P	
TAS2R63P	
LINC00705	
MESTP1	
ANKRD30BP3	
CHCHD3P1	
RPS12P23	
CSTF3-AS1	
RPS26P40	
ATP2B1-AS1	
LINC02370	
LINC01089	
ST13P8	
PKD1P3	
PKD1P1	
LINC00667	
KRT16P4	
NOS2P3	
ERVMER61-1	
LINC02579	
MTMR9LP	
LINC01139	
LINC01734	
LINC00634	
MRPS35P1	
MAP3K20-AS1	
KRT18P19	
EIF3FP3	
EHHADH-AS1	
LPP-AS2	
EIF4BP8	
RBMY2TP	
PRR7-AS1	
LINC01959	
LINC02239	
LINC02120	
IQCB2P	
IFITM4P	
NANOGP3	
RPS5P5	
KRT18P24	
TCEA1P3	
GAS2L1P2	
MORF4L2-AS1	
PRKMK7~withdrawn	
LINC02243	
FAM41AY1	
SIAH1P1	
KRT18P48	
RPL7AP8	
AHCYP1	
AKR1B10P1	
EIF3LP3	
CYCSP27	
RPL31P50	
MRPS7P2	
RPL23AP14	
RPL35P7	
CYCSP39	
KRT18P18	
KRT8P22	
LRRC37A11P	
KRT8P5	
MRPS17P7	
RPS2P6	
RPL34P34	
CYCSP51	
RPS2P11	
RPL10AP4	
KRT18P28	
GAPDHP20	
USP32P3	
RPL6P2	
MRPL51P2	
RPS10P30	
MRPS18CP6	
RPL5P7	
KRT8P10	
ST13P2	
FABP5P10	
DUBR	
CCDC75P1	
VN2R1P	
GSTO3P	
KRT18P17	
COL6A4P1	
NMRAL2P	
SAR1AP3	
KRT18P41	
GAPDHP72	
MRPL42P2	
MRPL42P4	
MRPL49P2	
RPL37P6	
SAPK3~withdrawn	
H2AFZP2	
SPATA31D5P	
KRT8P11	
RPL36P14	
KRT8P14	
KIF4CP	
H3F3AP5	
NLRP3P1	
RPL7L1P11	
RPL18AP16	
TSPY11P	
SNORD64	
GNG5P2	
S100A11P2	
MRPS36P4	
PWARSN	
COTL1P2	
LINC01193	
MRPL2P1	
NLRP9P1	
TERF1P1	
NPHP3-AS1	
LINC00265	
ANKRD18DP	
CYCSP20	
CYCSP3	
NANOGP10	
VENTXP3	
MRPS18CP4	
HCG26	
HLA-V	
MRPL35P3	
CAP2P1	
KRT16P5	
FAM103A2P	
PSIP1P1	
SERK1~withdrawn	
PKD1P6	
PKD1P4	
MRPL35P4	
MRPL42P3	
RNA18SP2	
MRPL57P2	
SCOD1~withdrawn	
MRPS33P2	
KDM5DP1	
MRPS5P4	
SERBP1P2	
CHRFAM7AP2	
PRRC2CP1	
CYCSP24	
CYCSP26	
EIF3EP1	
COT~withdrawn	
TPTE2P6	
GOLGA6L5P	
RBMY2UP	
LINC01116	
RBMY2VP	
GUSBP4	
AQP7P1	
RBMY2BP	
DMBT1P1	
RPS10P7	
RPL24P4	
TSPY12P	
TSPY13P	
CDY5P	
OFD1P1Y	
OFD1P2Y	
RN7SL2	
RN7SL3	
TSPY14P	
CDY11P	
RPL37P3	
RPL37P4	
RPS15P8	
MIR381HG	
MALAT1	
RBMY2HP	
RBMY2JP	
RBMY2NP	
PSMA3-AS1	
RBMY2YP	
CHKB-CPT1B	
ZFP91-CNTF	
RNF144A-AS1	
RNASEH2CP1	
OSTF1P1	
OFD1P7Y	
OFD1P3Y	
OFD1P4Y	
OFD1P5Y	
OFD1P6Y	
OFD1P8Y	
OFD1P14Y	
C1orf143	
ZNF582-AS1	
CDY23P	
RPL13AP	
RPL13P	
RPL35AP3	
UBQLN1P1	
VN1R14P	
HIST1H1PS1	
LINC00320	
ZNF322P1	
USP9YP4	
USP9YP1	
USP9YP2	
RPS26P5	
FAM238C	
TPTEP1	
RAC1P1	
LRRC37A6P	
PTCHD3P1	
ARL4AP1	
XRCC6P1	
RPL21P97	
RPL13AP20	
RPSAP12	
RPL7AP66	
RPL13P12	
LINC01550	
FABP5P1	
RPS8P10	
SPATA41	
RPSAP55	
RPL17P5	
UBE2Q2P1	
HNRNPA1P7	
RPS18P12	
LINC00671	
LINC01999	
RPS7P1	
RPL7P48	
RPSAP58	
RPL6P22	
SDCCAG3P1	
CYP4F24P	
RPL21P131	
CEACAM22P	
RPS9P4	
TUBB8P11	
MEKK1~withdrawn	
LINC00272	
HS6ST1P1	
SDHDP7	
RPL21P20	
LINC01138	
RPSAP18	
SNHG17	
LINC01658	
OR2M1P	
LINC00207	
DPP10-AS1	
FUNDC2P2	
RPL23AP43	
RPS27P4	
RPS10P10	
ARMC10P1	
RPSAP29	
RPL21P39	
CPHL1P	
NACA3P	
LINC02213	
SETP14	
RPL10P9	
RPL9P18	
RPL5P18	
RPL27AP6	
RPS26P32	
FAM90A3P	
FAM90A6P	
ZNF705CP	
MEKK2~withdrawn	
GLIDR	
HNRNPA1P4	
FKBP4P2	
AQP7P2	
GAPDHP21	
CENPVL1	
SERBP1P1	
AKR1C6P	
PRPF38AP1	
MKNK2P1	
ACTBP14	
RPA2P2	
RPL7P34	
NIP7P1	
PCNAP4	
RPS24P15	
IFITM9P	
RPL5P29	
RPS4XP13	
RPS2P37	
KRT8P26	
DOC2GP	
NDUFB11P1	
RPL31P10	
SRP14P1	
ST13P9	
PHBP18	
IGHV1OR21-1	
RPL18AP3	
RPLP0P10	
ATP5HP1	
KRT8P9	
KRT8P23	
RPL18P11	
KRT18P47	
RPL18P12	
CDC37P1	
PHBP21	
RPS15AP34	
CCL3P1	
RPL7L1P5	
ARIH2P1	
RPS15AP35	
RPL29P32	
RPSAP57	
OACYLP	
KRT18P40	
RPL7AP18	
RPL26P36	
RPL29P6	
SKINT1L	
BTF3L4P3	
CAPNS1P1	
GAPDHP23	
KRT8P28	
RPL27AP2	
MEKK3~withdrawn	
GAPDHP24	
RPS26P17	
RPS3AP7	
RPL6P3	
GAPDHP25	
RPS12P4	
RPSAP28	
RPL19P8	
RPS4XP6	
MEKK4~withdrawn	
RPL7AP33	
OR4C17P~withdrawn	
CTAGE12P	
RPSAP13	
MAGEB6P1	
RPS27AP17	
RPL32P36	
RPS5P7	
RPL18AP15	
AKR1B1P8	
HMGB3P31	
KRT8P6	
RPL12P10	
RPL18P4	
RPS10P1	
BRCA1P1	
SLC2AXP1	
TCEA1P2	
LINC00200	
LINC00701	
TIMM8AP1	
FAM32BP	
RPL13AP17	
MLK1~withdrawn	
GATA3-AS1	
LINC00999	
LBX1-AS1	
LINC01164	
CAP1P2	
NPM1P25	
SPRNP1	
MIR100HG	
TRIM51BP	
ST13P10	
RPS26P47	
GSEC	
LINC00938	
HSPA8P5	
HADHAP2	
SUPT16HP1	
TCP1P3	
RPL26P32	
LINC00547	
LINC00548	
SNX19P2	
DGKZP1	
RPSAP53	
YTHDF2P1	
DICER1-AS1	
RPL5P3	
RPL12P35	
DNM1P9	
DNM1P40	
FENDRR	
LINC02138	
KRT16P2	
TBC1D3P1	
MLK2~withdrawn	
SOX9-AS1	
LINC00511	
LINC02092	
RBM22P1	
TPMTP1	
RPS3AP49	
LINC00664	
LINC01801	
LRRC8C-DT	
MIR137HG	
LINC01721	
GBP1P1	
SDAD1P2	
MLK3~withdrawn	
MIRLET7BHG	
LINC00487	
LINC00954	
LINC01122	
LINC02245	
PCBP1-AS1	
ACOXL-AS1	
TEX41	
HAGLR	
CTAGE14P	
RPS15P4	
MBNL1-AS1	
LINC01994	
LINC02232	
LINC02145	
TMPRSS11BNL	
LINC01623	
LINC00951	
LINC02538	
RPS25P6	
HTATSF1P2	
LINC00997	
ATP6V0E2-AS1	
RASA4CP	
GTF2IRD2P1	
SRRM1P1	
RAB8IPL1~withdrawn	
VLDLR-AS1	
LINC01235	
CDK2AP2P3	
DDX10P2	
ZNF674-AS1	
RPSAP49	
CD99P1	
FAM224B	
GOLGA2P3Y	
RPSAP10	
RPL7AP53	
NIFKP1	
RPL10AP12	
RPL7AP63	
RPS17P16	
RPS16P2	
AHCYP3	
RPL22P11	
RPL8P4	
NDUFB4P12	
RAC1P5	
RPS12P8	
LINC01000	
KRT8P8	
HNRNPA1P8	
RPL15P11	
RPL32P17	
OR1M4P	
RAB8IP~withdrawn	
COX8BP	
OR4C48P	
OR4G11P	
HERC2P8	
OR7D11P	
WDFY3-AS2	
RPL7P37	
ANKHD1-EIF4EBP3	
LINC01194	
NPSR1-AS1	
GNRHR2P1	
MIRLET7A1	
REXO1L7P~withdrawn	
RPL35AP2	
PLEKHM1P1	
TAK1~withdrawn	
RPL7AP30	
MIR92A2	
NANOGP7	
NANOGP2	
NANOGP5	
STX17-AS1	
NANOGP6	
LINC00595	
LINC00619	
FAM35BP	
RPSAP6	
VKORC1P1	
BORCS8-MEF2B	
HCG18	
HCG17	
TTTY9B	
THAP7-AS1	
PPIAP31	
FAM35DP	
RPS3AP5	
DUX4L12	
PAX6-AS1	
RPL23AP65	
PGAM1P8	
ZPK~withdrawn	
LINC00544	
TMEM198B	
NPM1P39	
RPL12P6	
CXADRP3	
HERC2P9	
WHAMMP2	
CATSPER2P1	
DNM1P44	
LINC02181	
ANX11~withdrawn	
BAIAP2-AS1	
LINC00982	
TBC1D3P2	
RPL21P128	
CLEC4GP1	
RPL21P29	
HIST2H3PS2	
SLC2A1-AS1	
RBM15-AS1	
RPL6P1	
RPS2P8	
LINC00851	
MIAT	
LINC01191	
RPS7P3	
THUMPD3-AS1	
EIF1B-AS1	
FAR2P1	
H3F3AP4	
NR2F1-AS1	
RPL26P19	
ARPC3P5	
LINC00602	
LINC02487	
ZNRF2P1	
RP9P	
ANX13~withdrawn	
DTX2P1-UPK3BP1-PMS2P11	
FDPSP7	
ANX1~withdrawn	
MIR2052HG	
LINC01239	
RPS26P3	
RBMXP2	
MYO5BP1	
TTTY6B	
RPL26P37	
BTBD7P1	
RPS4XP11	
GAPDHP28	
YWHAZP9	
RPL18P13	
RPL23AP76	
RPS16P1	
RPS4XP4	
ZFAS1	
FEM1AP1	
NPM1P48	
ALG3P1	
RPS26P29	
RPL21P62	
RPS4XP7	
RPS17P5	
RPS4XP9	
RPS12P11	
RPS2P34	
EEF1DP2	
RPL14P5	
RPL23P7	
RPL7AP40	
MIR133B	
MIR376C	
MIR369	
MIR370	
TRIM6-TRIM34	
RPS26P9	
TAS2R6P	
P2RY10BP	
SF3A3P2	
TTTY3B	
PHF5CP	
PHF5GP	
PHF5DP	
PHF5EP	
PHF5FP	
PHF5HP	
HDGFP1	
ANX2L1~withdrawn	
SUMO1P2	
SUMO1P3	
GEMIN8P4	
HCG11	
MIR361	
MIR375	
PHBP19	
MIR425	
COILP2	
TBCAP1	
TBCAP2	
DEFB108E	
BDNF-AS	
LINC00293	
A1BG-AS1	
RGMB-AS1	
LOH12CR2	
DPRXP5	
DPRXP6	
ANX2L2~withdrawn	
RPL3P6	
ANX2L3~withdrawn	
TUBBP5	
GAPDHP30	
ANX2L4~withdrawn	
METTL15P2	
ANX2P1~withdrawn	
RPS26P15	
RPS26P50	
HCG4	
ANX2P2~withdrawn	
RIMKLBP1	
PSMD4P1	
ELF2P4	
MIR4435-2HG	
VN1R8P	
FBXW11P1	
RPS26P7	
ANX2P3~withdrawn	
RPS2P48	
RPL21P46	
ANX2~withdrawn	
LINC01521	
RPL31P39	
RPLP0P5	
TUG1	
GABPB1-IT1	
LRRC37A4P	
RPL7AP62	
RPL19P15	
KCTD9P6	
ANX31~withdrawn	
MIR3936HG	
LINC00251	
DNAJC25-GNG10	
VENTXP6	
FERP1	
ANX3~withdrawn	
PRR5-ARHGAP8	
LINC01949	
CCDC148-AS1	
MIR31HG	
MIR429	
EPS15P1	
C1DP1	
DNM1P33	
MEMO1P2	
MIR449A	
MIR450A1	
RPL36AP40	
KIR2DP1	
MSX2P1	
LINC01625	
ANX4~withdrawn	
MIR522	
ANX5~withdrawn	
MTND2P2	
CHEK2P2	
DAD1P1	
RPL32P16	
ANX6~withdrawn	
ANX7~withdrawn	
RPL23AP32	
ANX8~withdrawn	
RLFP1	
PGM5-AS1	
MIR362	
MIR363	
MIR20B	
MIR18B	
MIR433	
SNORA6	
SNORA10	
MIR329-1	
MIR518D	
MIR519A2	
RPL21P70	
MIR513A2	
MIR506	
BEND3P1	
CLK3P1	
RPS13P8	
RPS10P15	
FAM86LP	
KRT18P33	
SEPT7P2	
RBMY2AP	
SNORD100	
RPS11P7	
RPL22P3	
SNORD101	
HAS2-AS1	
SNORA33	
ZFAT-AS1	
SNORD16	
PGM5P2	
RN7SL1	
UNR~withdrawn	
SNORD68	
RPL29P25	
RNU7-24P	
RPL9P7	
SCART1	
LINC01298	
LINC00589	
FAM90A21P	
RPS12P2	
RPS29P2	
RPSAP54	
SNORD72	
SNORA52	
SNORD2	
LINC01662	
PCGEM1	
RPS20P27	
GPR5~withdrawn	
RPL21P19	
SMG1P1	
RPL31P11	
RPS29P3	
SLC7A11-AS1	
LINC00616	
NRON	
SNORA19	
FAM185BP	
TSC22D1-AS1	
DIO3OS	
LEF1-AS1	
RPL36AP6	
RPL21P5	
RPL23AP8	
CMKBR9~withdrawn	
SNHG6	
SNORD87	
FAM138F	
TAGLN2P2	
RPL36AP31	
CYP21P~withdrawn	
FKBP1C	
MIR4500HG	
LINC02297	
RBM17P2	
CTSLP6	
ADH5P4	
FAM230B	
RPL36P11	
C1DP2	
TRIM53AP	
MANA1~withdrawn	
TBC1D22A-AS1	
DANT2	
RPL9P11	
RPL3P7	
EIF4A1P9	
ST13P21	
RPL6P10	
LINC00535	
CERNA2	
NIFKP8	
CTBP2P4	
FABP5P9	
ZC3H11B	
ACTR3BP1	
RPL26P22	
KRT223P	
RPL36P8	
CCT6P1	
RPL21P106	
RPS29P18	
ST13P18	
RPL5P4	
SAPCD2P3	
RPS27AP16	
UNC93B4	
AKR1B10P2	
LINC00865	
RBMS2P1	
LINC02523	
LINC00842	
NR1H5P	
RPSAP8	
RPS18P8	
CASC16	
TRAF3IP2-AS1	
LINC02453	
SCGB1B2P	
GAPDHP31	
HMGN1P38	
RPS3AP36	
RPL31P32	
KRT18P30	
RPL17P34	
KRT126P	
CRNDE	
HMGN2P6	
EIF4BP7	
FKBP4P8	
RPS3AP20	
RPLP2P3	
RPSAP43	
RPS2P18	
RPL7P29	
RPL6P13	
LINC01529	
HNRNPA1P12	
RPS14P3	
BCRP1	
RPL18AP8	
RPL29P18	
RPSAP50	
RPS14P9	
RPL23AP53	
HMGB1P15	
CCT8P1	
RPS14P8	
DNM1P31	
NR2F2-AS1	
RPS26P8	
RPLP2P2	
RPL12P27	
GAPDHP32	
MANA2~withdrawn	
LINC00622	
KANSL1-AS1	
RPL9P4	
RPL7AP43	
GAPDHP33	
MANB~withdrawn	
RPS7P11	
TPM3P5	
CYP21~withdrawn	
RPSAP61	
ERBAL2~withdrawn	
RAD21-AS1	
LARP1BP1	
GRL~withdrawn	
LIMD1-AS1	
WASF4P	
BOLA3P3	
THRB-AS1	
RPL7P7	
RPL32P18	
RPL10P5	
H3F3AP6	
RPL32P22	
NFIA-AS1	
KRT8P19	
RPS3P6	
RPS2P20	
RPL6P4	
LINC00693	
MNX1-AS1	
PFN1P6	
RPL21P61	
TMEM256P1	
FUT8-AS1	
RPL21P76	
TLE1P1	
RPL6P27	
NIFKP2	
RPS16P9	
AHCYP7	
RPL23AP56	
WFDC21P	
RPL31P48	
GTBP~withdrawn	
TAF5LP1	
PARP4P2	
RPL3P3	
RPL5P10	
KRT8P15	
MLR~withdrawn	
RPL7AP58	
RPS10P17	
CCDC58P1	
RPS7P5	
MCFD2P1	
RPL31P57	
RPL10AP5	
YWHAZP8	
WDR45BP1	
RPL26P21	
LINC02223	
RPS27P10	
LINC00607	
BTBD6P1	
RPL29P5	
SNX19P3	
RPL27P2	
UBE2HP1	
RPL7AP39	
RPL6P19	
HHIP-AS1	
RPS3AP44	
RPL19P5	
CLIC4P1	
BUB3P1	
ATP5G1P3	
FAM60DP	
KRT18P31	
RPL12P2	
GAPDHP34	
LINC00598	
CTBP2P5	
RPS10P14	
RPL23P6	
RPL26P16	
RPS12P25	
KCTD9P3	
CDC37P2	
RPS14P10	
YWHABP1	
RPLP0P11	
RPL23AP42	
LINC01192	
RPL27P6	
UQCRFS1P2	
RPS15AP20	
RPSAP33	
RPS16P5	
RPL39P15	
GAPDHP36	
RPL4P4	
RPL29P9	
CTAGE11P	
PEBP1P2	
VEZF1P1	
TFCOUP1~withdrawn	
FRG2EP	
FARSBP1	
RPL23AP57	
VN2R9P	
MIR924HG	
NORAD	
RPL7P23	
RPL37P23	
RPS29P9	
ABHD17AP3	
RPL36P16	
TFCOUP2~withdrawn	
RPS15AP24	
EFTUD1P1	
HMGN2P18	
AKR1C7P	
AK4P6	
RPL36AP51	
SETP16	
RPL23AP64	
RPL21P82	
RPSAP46	
BEND3P3	
ABCA17P	
RPS28P9	
RPL4P1	
RPS2P12	
NACAP2	
RPL34P27	
GAPDHP37	
CYCSP54~withdrawn	
RPSAP44	
NPM1P36	
SUMO2P3	
SNORA48	
SNORD10	
RPS3AP15	
RPL17P2	
RPL21P6	
GOLGA8S	
GOLGA8T	
UCA1	
RPL7AP4	
RPL26P30	
RPL21P53	
RPSAP9	
AGAP10P	
RPL23AP49	
TLX~withdrawn	
GSTTP2	
SPCS2P4	
CD177P1	
TBC1D3P1-DHX40P1	
WASH7P	
LYPLA2P1	
FAM226B	
TCAF2P1	
RPL7P9	
RPL31P17	
SNORA5A	
SNORA8	
RPS16P8	
BCYRN1P3	
RPL9P25	
RPS27P3	
RPL37P5	
RPS15AP4	
FAM138B	
RPL12P9	
FAM30C	
RPSAP7	
FAM138C	
HNRNPA1P10	
CENPBD1P1	
MIR539	
MIR544A	
CYCSP13~withdrawn	
MIR545	
MIR376A2	
MIR487B	
SNORA59A	
CD27-AS1	
SNORA25	
FAM86DP	
RPS26P4	
HMGB1P8	
SKP1P1	
TR2~withdrawn	
RHEBP3	
PPAN-P2RY11	
TR4~withdrawn	
MIR640	
MIR652	
MIR650	
MIR651	
LHFPL3-AS2	
ANP32AP1	
BDP1P	
MIR661	
MIR662	
MIR663A	
SS18L2P2	
SNORD116-19	
RPL22P12	
TEKT4P1	
GOLGA8Q	
LINC02203	
RPL9P16	
DDX11L16	
RPL9P32	
RPS3AP16	
LINC01249	
PDYN-AS1	
TSPY16P	
RPS3AP43	
RPL17P22	
LINC00290	
LINC02458	
CUBNP1	
FAM133DP	
RPL15P18	
RPL23AP50	
LINC02363	
NUTM2A-AS1	
RPSAP30	
RPL7AP26	
TSPY9P	
RPL7AP36	
LINC00460	
LINC00864	
RPL36AP7	
RPL23AP75	
UBTFL5	
HMGN2P16	
CARMN	
LINC02027	
LINC01881	
RPL26P24	
RPL7AP31	
HMGN1P21	
GLRX3P2	
EIF2S2P4	
RPL6P16	
BCLAF1P1	
RPL9P21	
DNM1P30	
TPI1P3	
PARGP1	
POM121L7P	
LINC01137	
TGFB2-AS1	
DPPA3P1	
RPL21P75	
RPS19P7	
AHC~withdrawn	
ENTPD1-AS1	
RPL23AP77	
RPS8P8	
MEMO1P1	
RPL32P11	
HULC	
ASB9P1	
FABP5P7	
ZBED3-AS1	
PRELID1P1	
RPL21P105	
RPS3AP19	
PIN4P1	
DNM1P5	
RPS15AP25	
LINC00623	
HMGN1P36	
RCN1P2	
RPL23AP60	
UNC5B-AS1	
RPS19P3	
RPL7P56	
FTF~withdrawn	
OIP5-AS1	
NUTM2HP	
KRT8P7	
RPS4XP14	
HMGB2P1	
RPL7P21	
RPL9P28	
RPS3AP14	
NBAT1	
FAM91A3P	
RPS26P58	
ANAPC10P1	
RPL21P117	
RPS24P4	
RPS11P6	
RPL17P43	
RPS2P53	
RPL23AP47	
RPL28P5	
RPS18P10	
LINC01873	
RPL31P45	
MED28P7	
RPL27P8	
RPL17P16	
PACRG-AS3	
RPS6P25	
RPL21P16	
C1GALT1P1	
PSMA6P2	
LINC02226	
RPL21P18	
DIRC3	
NDUFB8P2	
LINC00847	
DNAJC27-AS1	
RPL7P16	
RPS2P51	
RPL18AP5	
LINC01915	
RPL12P18	
RPL23AP45	
ANKRD34C-AS1	
GGTLC4P	
RPS2P50	
VN1R101P	
RPS16P10	
RPL36AP26	
NPIPB2	
LINC01530	
HMGB3P6	
RPL21P71	
RPSAP19	
RPL34P33	
VN1R103P	
RPL26P11	
EIF1P3	
NPIPB10P	
RPS26P16	
ZNF101P2	
VN1R64P	
RPL17P8	
MIR3945HG	
FAM238B	
DYNLL1P2	
RPL21P120	
PRKRAP1	
RPL32P12	
RPL29P21	
CCDC58P3	
TPM3P7	
SNORD113-1	
SNORD113-2	
H2BFXP	
USP10P1	
PKP2P1	
SNORD114-28	
MIR767	
MIR454	
MIR769	
MIR766	
EIF4EBP1P2	
SNORD3A	
SNORD3B-2	
SNORD3C	
USP10P2	
PAICSP3	
FTZF1~withdrawn	
GCNF~withdrawn	
BIN3-IT1	
LINC00626	
PWRN1	
PWRN2	
DBIP3	
LINC01711	
HMR~withdrawn	
LILRP2	
LILRP1	
ZNF33CP	
ZNF37CP	
NURR1~withdrawn	
DNM1P42~withdrawn	
RPL29P10~withdrawn	
ABCC7~withdrawn	
RPL39P42~withdrawn	
RPL35AP23	
HAND2-AS1	
LINC00115	
FAM8A8P~withdrawn	
C6orf147~withdrawn	
CEBPA-AS1	
ANP32A-IT1	
RPS2P45	
LINC01552~withdrawn	
LCAL1	
GNL3LP1	
RPL9P9	
COPD~withdrawn	
ASMTL-AS1	
GOLGA2P10	
MAAT1~withdrawn	
RUNX1-IT1	
MAPRE1P1	
HCG4B	
ZNRD1ASP	
HCG2P7~withdrawn	
